"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","FUNDING RATE","COMMISSION","CONVERSION RATE","CONVERSION FEE","PL","AMOUNT","BALANCE"
"3516","2026-01-01 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","2.82540","","","","0.0000","","","4993.37"
"","2026-01-01 10:00:00 -12","DAILY_FINANCING","Trade ID: 3514","USD/JPY","","","","","","","","2.82540","0.0211","","","","","",""
"3517","2026-01-01 16:56:31 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","48875.00","","","","","","","","","","","","",""
"3518","2026-01-01 16:56:31 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3519","2026-01-01 16:56:31 -12","MARKET_ORDER","CLIENT_ORDER","USD/JPY","","49933.00","Sell","","","","","","","","","","","",""
"3520","2026-01-01 16:56:31 -12","ORDER_FILL","MARKET_ORDER","USD/JPY","156.80300","49933.00","Sell","2.5474","","","","0.00000","","0.0000","0.0063","-0.1944","39.07540","","5032.44"
"3521","2026-01-02 03:42:01 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3522","2026-01-02 03:42:01 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1058.00","","","","","","","","","","","","",""
"3523","2026-01-02 03:42:01 -12","MARKET_ORDER","CLIENT_ORDER","USD/JPY","","50324.00","Buy","","","","","","","","","","","",""
"3524","2026-01-02 03:42:01 -12","ORDER_FILL","MARKET_ORDER","USD/JPY","156.71700","50324.00","Buy","2.7296","","","","0.00000","","0.0000","0.0063","-0.0029","0.57770","","5033.02"
"3525","2026-01-02 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","2.84800","","","","0.0000","","","5035.87"
"","2026-01-02 10:00:00 -12","DAILY_FINANCING","Trade ID: 3524","USD/JPY","","","","","","","","2.84800","0.0211","","","","","",""
"3526","2026-01-03 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","5035.87"
"","2026-01-03 10:00:00 -12","DAILY_FINANCING","Trade ID: 3524","USD/JPY","","","","","","","","0.00000","0.0211","","","","","",""
"3527","2026-01-04 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","5035.87"
"","2026-01-04 10:00:00 -12","DAILY_FINANCING","Trade ID: 3524","USD/JPY","","","","","","","","0.00000","0.0211","","","","","",""
"3528","2026-01-04 12:54:50 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","49266.00","","","","","","","","","","","","",""
"3529","2026-01-04 12:54:50 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3530","2026-01-04 12:54:50 -12","MARKET_ORDER","CLIENT_ORDER","USD/JPY","","50358.00","Sell","","","","","","","","","","","",""
"3531","2026-01-04 12:54:50 -12","ORDER_FILL","MARKET_ORDER","USD/JPY","157.23000","50358.00","Sell","2.7222","","","","0.00000","","0.0000","0.0063","-0.7950","159.92960","","5195.80"
"3532","2026-01-04 13:09:51 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3533","2026-01-04 13:09:51 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3534","2026-01-04 13:24:52 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3535","2026-01-04 13:24:52 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3536","2026-01-04 13:39:53 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3537","2026-01-04 13:39:53 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3538","2026-01-04 13:54:54 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3539","2026-01-04 13:54:54 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3540","2026-01-04 14:09:54 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3541","2026-01-04 14:09:54 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3542","2026-01-04 14:24:55 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3543","2026-01-04 14:24:55 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3544","2026-01-04 14:39:55 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3545","2026-01-04 14:39:55 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3546","2026-01-04 14:54:56 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
